Country or Area,Subgroup,Year,Value
Italy,Female,2001,1014953
Italy,Female,2000,982668
Italy,Female,1999,991450
Italy,Male,2005,875191
Italy,Male,2004,869908
Italy,Male,2003,837099
Italy,Male,2002,811223
Italy,Male,2001,797372
Italy,Male,2000,787334
Italy,Male,1999,805791
Jamaica,Female,2003,32003
Jamaica,Female,2002,31249
Jamaica,Female,2001,28409
Jamaica,Female,2000,23408
Jamaica,Male,2003,13767
Jamaica,Male,2002,14145
Jamaica,Male,2001,14093
Jamaica,Male,2000,12587
Japan,Female,2005,1853130
Japan,Female,2004,1848396
Japan,Female,2003,1815521
Japan,Female,2002,1789881
Japan,Female,2001,1781996
Japan,Female,2000,1787068
Japan,Female,1999,1760494
Japan,Male,2005,2185172
Japan,Male,2004,2183208
Japan,Male,2003,2168879
Japan,Male,2002,2176786
Japan,Male,2001,2190472
Japan,Male,2000,2195001
Japan,Male,1999,2180262
Jordan,Female,2005,109528
Jordan,Female,2004,109692
Jordan,Female,2003,95056
Jordan,Female,2002,79582
Jordan,Female,2000,73098
Jordan,Male,2005,108295
Jordan,Male,2004,104414
Jordan,Male,2003,91133
Jordan,Male,2002,83106
Jordan,Male,2000,69092
Kazakhstan,Female,2005,437742
Kazakhstan,Female,2004,381704
Kazakhstan,Female,2003,341628
Kazakhstan,Female,2002,287144
Kazakhstan,Female,2001,241722
Kazakhstan,Female,2000,200067
Kazakhstan,Female,1999,172938
Kazakhstan,Male,2005,315439
Kazakhstan,Male,2004,282745
Kazakhstan,Male,2003,261444
Kazakhstan,Male,2002,232671
Kazakhstan,Male,2001,203929
Kazakhstan,Male,2000,170254
Kazakhstan,Male,1999,151011
Kenya,Female,2004,38584
Kenya,Female,2002,34186
Kenya,Female,2001,32972
Kenya,Female,2000,31266
Kenya,Male,2004,64214
Kenya,Male,2002,63929
Kenya,Male,2001,61657
Kenya,Male,2000,57750
Kiribati,Female,2005,…
Kiribati,Female,2004,…
Kiribati,Female,2003,…
Kiribati,Female,2002,…
Kiribati,Female,2001,…
Kiribati,Female,2000,…
Kiribati,Female,1999,…
Kiribati,Male,2005,…
Kiribati,Male,2004,…
Kiribati,Male,2003,…
Kiribati,Male,2002,…
Kiribati,Male,2001,…
Kiribati,Male,2000,…
Kiribati,Male,1999,…
Korea Rep,Female,2005,1188250
Korea Rep,Female,2004,1178285
Korea Rep,Female,2003,1168159
Korea Rep,Female,2002,1127541
Korea Rep,Female,2001,1070021
Korea Rep,Female,2000,998297
Korea Rep,Female,1999,923158
Korea Rep,Male,2005,2036625
Korea Rep,Male,2004,2045146
Korea Rep,Male,2003,2041983
Korea Rep,Male,2002,2002358
Korea Rep,Male,2001,1933477
Korea Rep,Male,2000,1839583
Korea Rep,Male,1999,1713230
Kuwait,Female,2005,27127
Kuwait,Female,2004,23701
